"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTOP3",85.8761357050273,-23.5722177997774,2.61649015849477,-9.00909859081532,2.07757052369589e-19,3.52335185113586e-15
"CNTNAP3P2",1072.23252171441,-27.3640938985196,3.22595486895048,-8.48247883499439,2.20446214092095e-17,1.86927367239392e-13
"ZNF812",825.332442742482,-5.21483099337573,0.638383949804488,-8.16880028856119,3.11471277305249e-16,1.64257340658396e-12
"SLCO1B1",54.8059608829455,23.5774531464023,2.89562856647524,8.14243008215049,3.87422231637232e-16,1.64257340658396e-12
"DYNAP",101.693070374809,-24.144645726614,3.06360046569853,-7.88113397845068,3.24423215091615e-15,1.10037866094774e-11
"PRAME",145.754096663119,24.945641043435,3.19379331680946,7.81066229681862,5.68882524086814e-15,1.60794645433138e-11
"PTH2R",72.172147797563,-23.6782258125231,3.13991639833404,-7.54103702413421,4.66248706750746e-14,1.12958740254084e-10
"ZNF177",79.6006815859704,-9.39851847512457,1.26413391972301,-7.43474906296629,1.04766654007808e-13,2.22092210664801e-10
"PSG2",44.0207041928913,-23.0073262956005,3.22664683392547,-7.13041354687407,1.00067812557121e-12,1.88561114795135e-09
"PIWIL1",42.1368653018649,-22.9483306541312,3.22667923536648,-7.11205824322501,1.14324992739862e-12,1.93883755187532e-09
"CDK3",28.1542080456248,-22.40104067694,3.22705333995618,-6.94163942057561,3.87575457367612e-12,5.97535652863393e-09
"FN1",56355.2803050812,3.0740864972958,0.443926600323776,6.92476300148206,4.36706005022557e-12,6.17174761598129e-09
"MMP3",3231.64015440698,5.71495259967491,0.832769034592348,6.86259018080861,6.76230210475895e-12,8.82168318420054e-09
"GRB14",99.6628441103716,8.80999713933035,1.31477469585474,6.70076566510351,2.0733029432805e-11,2.51151032964957e-08
"FOSB",4130.50632278013,-5.09066071937405,0.775443582865476,-6.56483699376641,5.20898129815462e-11,5.88927425569361e-08
"CSTA",29461.3026324302,-2.91227186324729,0.467610639259101,-6.22798460672665,4.72473475726816e-10,5.00792354678192e-07
"CLCA4",6489.12412449631,-3.42288741567181,0.55075431315913,-6.21490805226402,5.13547125674258e-10,5.12308570841749e-07
"ZNF469",6385.45454002533,2.25938220306951,0.364323032123761,6.20159035759779,5.58954130649692e-10,5.26627950093785e-07
"PCP4L1",482.992523006036,-4.92176229881586,0.794760762175733,-6.19275954859934,5.91198839106078e-10,5.27691637494736e-07
"DTX2P1-UPK3BP1-PMS2P11",8645.64504526401,-1.57651997442364,0.263220269177408,-5.98935628836805,2.10673192554815e-09,1.78640333626855e-06
"TBX18",176.193071370262,11.2802618820935,1.89268652577883,5.95992084714174,2.52360139179144e-09,2.03798838111386e-06
"MAOA",10757.3144962156,-2.47604264114814,0.43330596471022,-5.71430546266315,1.10152979371801e-08,8.4912926234835e-06
"LGALS1",1023.35612531675,2.27807811971454,0.40143007661911,5.67490642181267,1.38764490305373e-08,1.02317695264731e-05
"CC2D2A",1261.94235747225,1.45438787346913,0.257372218723455,5.65091244378579,1.59598374261966e-08,1.12776201212862e-05
"PRSS23",945.827285064121,2.5546413499747,0.465158988481389,5.49197460058737,3.97464564953483e-08,2.69624062281844e-05
"HBG2",193.70497206707,-10.6817448338446,1.97337673502297,-5.41292731604046,6.20026628480252e-08,4.04424292015253e-05
"RGS4",466.618125785005,2.58985144901342,0.485449916339535,5.3349508607228,9.55704354521964e-08,6.00288524012518e-05
"ATF3",3970.02365240202,-3.99226645624961,0.759482262174351,-5.25656312870297,1.46772409870296e-07,8.88969035353699e-05
"ABCB11",35.3710286571706,-8.2300672706104,1.5829101508453,-5.19932686401399,2.00011532079552e-07,0.000113066519084571
"HBG1",128.779785728275,-10.0927679003902,1.9388348574271,-5.20558409692698,1.93387340921417e-07,0.000113066519084571
"GBP6",6061.58354474523,-2.53028060777328,0.487923331698622,-5.18581597433463,2.15071102545721e-07,0.000117657768647513
"ALDH1B1",167.638309378682,2.45698754758088,0.479249931584321,5.1267353121126,2.94809524547204e-07,0.000151505294751395
"RARRES3",892.703891768758,-2.61885241446977,0.510557899813182,-5.12939358186022,2.90677036709176e-07,0.000151505294751395
"IDO1",6141.11938841935,-3.04103123984082,0.600618684693449,-5.06316456237611,4.12353612228385e-07,0.000205679556170035
"MARK1",4201.72750458302,-1.76258084653828,0.35042734409623,-5.02980397001857,4.90981549946418e-07,0.000237901603015466
